model_name;initial_cam_parameters;question;response_correctness;navigation_correctness;iterations;total_translation;total_rotation;elapsed_time
gpt-5.1;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";Does this column have ram protection?;1;1;1;0;0;4,99
gpt-5.1;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";Does this column have ram protection?;1;1;1;0;0;5,4
gpt-5.1;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";Does this column have ram protection?;1;1;1;0;0;4,07
gpt-5.1;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";Does this column have ram protection?;1;1;1;0;0;4,69
gpt-5.1;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";Does this column have ram protection?;1;1;1;0;0;6,05
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";"Does this column have ram protection?
";1;1;3;200;0;14,35
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";"Does this column have ram protection?
";0;1;4;500;0;22,23
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";"Does this column have ram protection?
";1;1;4;250;0;20,55
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";"Does this column have ram protection?
";1;1;3;150;0;18,3
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [191950.98509773708, 87732.86223664184, 13936.073086287735], ""rotation"": [73.12847900390625, -2.8421709430404007e-13, 1737.2362060546875]}";"Does this column have ram protection?
";1;1;3;300;0;16,09
gpt-5.1;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;4,45
gpt-5.1;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;1;1;1;0;0;5,06
gpt-5.1;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;4,59
gpt-5.1;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;4,1
gpt-5.1;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;4,66
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;5,76
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;5,07
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;3,27
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;0;1;1;0;0;4,75
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [192807.57914818966, 89751.46596904381, 14057.50893452475], ""rotation"": [61.089515686035156, -8.526512829121202e-14, 2060.17626953125]}";How many robots are in this cell?;1;1;1;0;0;7,04
gpt-5.1;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;2;250;25;17,47
gpt-5.1;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;3;515,15;40;25,74
gpt-5.1;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;1;5;1363,04;110;39,09
gpt-5.1;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;1;4;1054,16;70;33,52
gpt-5.1;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;3;560,81;50;25,79
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;5;450;0;29,74
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;6;650;10;37,38
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;4;200;10;19,62
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;5;350;0;30,89
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [197414.50838705912, 88423.2997574797, 13566.259533176479], ""rotation"": [82.51666259765625, -1.1368683772161603e-13, 2234.94140625]}";Would another robot fit within this first production cell on the left?;0;0;4;250;0;24,19
gpt-5.1;"{""translation"": [197376.9016868601, 90641.32193927717, 13664.194923449984], ""rotation"": [86.79563903808594, -1.9895196601282805e-13, 2279.846923828125]}";Are the control cabinets behind the second column accessible for the worker?;1;1;3;771,7;25;25,62
gpt-5.1;"{""translation"": [197376.9016868601, 90641.32193927717, 13664.194923449984], ""rotation"": [86.79563903808594, -1.9895196601282805e-13, 2279.846923828125]}";Are the control cabinets behind the second column accessible for the worker?;0;0;3;647,21;25;26,44
gpt-5.1;"{""translation"": [197376.9016868601, 90641.32193927717, 13664.194923449984], ""rotation"": [86.79563903808594, -1.9895196601282805e-13, 2279.846923828125]}";Are the control cabinets behind the second column accessible for the worker?;0;0;9;1808,51;160;69,79
gpt-5.1;"{""translation"": [197376.9016868601, 90641.32193927717, 13664.194923449984], ""rotation"": [86.79563903808594, -1.9895196601282805e-13, 2279.846923828125]}";Are the control cabinets behind the second column accessible for the worker?;1;1;3;710,56;35;26,05
gpt-5.1;"{""translation"": [197376.9016868601, 90641.32193927717, 13664.194923449984], ""rotation"": [86.79563903808594, -1.9895196601282805e-13, 2279.846923828125]}";Are the control cabinets behind the second column accessible for the worker?;0;0;4;940,36;55;41,43
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [197376.9016868601, 90641.32193927717, 13664.194923449984], ""rotation"": [86.79563903808594, -1.9895196601282805e-13, 2279.846923828125]}";Are the control cabinets behind the second column accessible for the worker?;0;1;4;612,31;0;26,02
Qwen/Qwen3-VL-30B-A3B-Instruct:novita;"{""translation"": [197376.9016868601, 90641.32193927717, 13664.194923449984], ""rotation"": [86.79563903808594, -1.9895196601282805e-13, 2279.846923828125]}";Are the control cabinets behind the second column accessible for the worker?;0;0;10;2116,23;0;56,09
